Scene,Setup,Room
4,0,2,006F,0800,Metal Gate,,-1323,200,809,0000,8000,0000
4,0,4,006F,0401,Metal Gate,,2384,2080,0,0000,4000,0000
4,0,4,006F,0401,Metal Gate,,2576,2080,0,0000,C000,0000
4,0,5,006F,0302,Metal Gate,,2183,2800,1069,0000,8000,0000
4,0,5,006F,0A02,Metal Gate,,1764,2940,1209,0000,8000,0000
4,0,11,006F,0B02,Metal Gate,,-1675,2800,-3,0000,C000,0000
4,0,17,006F,0900,Metal Gate,,-280,0,-480,0000,8000,0000
4,0,17,006F,0900,Metal Gate,,-275,0,-280,0000,0000,0000
4,0,20,006F,0100,Metal Gate,,1840,100,-1852,0000,C000,0000
4,0,22,006F,0200,Metal Gate,,1558,200,2000,0000,8000,0000
4,0,23,006F,0500,Metal Gate,,1500,2800,-1792,0000,4000,0000
Total: 11
