Scene,Setup,Room
81,0,0,009B,0000,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 00,-1425,0,810,0000,E000,0000
81,0,0,009B,0003,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 03,-4030,-700,13860,0000,8000,0000
81,0,0,009B,0022,Grotto,Generic; Visible; Chest: Red Rupee; Flag 02,-270,-500,12350,0000,9555,0000
81,0,0,009B,02E1,Grotto,Tektite; Hit; Chest: None; Flag 01,-4945,-300,2835,0000,1555,000B
81,0,0,009B,02E4,Grotto,Webbed; Hit; Chest: None; Flag 04,-7870,-300,6920,0000,0000,0005
81,0,0,009B,02E5,Grotto,Big Skulltula; Hit; Chest: None; Flag 05,2060,20,-170,0000,C000,0001
81,0,0,009B,02E6,Grotto,Heart Piece Scrub; Hit; Chest: None; Flag 06,-4990,-700,13820,0000,EAAB,0002
81,0,0,009B,10FF,Grotto,Fairy Fountain; Visible; Chest: None; Flag 1F,-4450,-300,-425,0000,0000,0000
81,1,0,009B,0003,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 03,-4030,-700,13860,0000,8000,0000
81,1,0,009B,0000,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 00,-1425,0,810,0000,E000,0000
81,1,0,009B,0022,Grotto,Generic; Visible; Chest: Red Rupee; Flag 02,-270,-500,12350,0000,9555,0000
81,1,0,009B,02E4,Grotto,Webbed; Hit; Chest: None; Flag 04,-7870,-300,6920,0000,0000,0005
81,1,0,009B,02E6,Grotto,Heart Piece Scrub; Hit; Chest: None; Flag 06,-4990,-700,13820,0000,EAAB,0002
81,1,0,009B,02E1,Grotto,Tektite; Hit; Chest: None; Flag 01,-4945,-300,2835,0000,1555,000B
81,1,0,009B,02E5,Grotto,Big Skulltula; Hit; Chest: None; Flag 05,2060,20,-170,0000,C000,0001
81,1,0,009B,10FF,Grotto,Fairy Fountain; Visible; Chest: None; Flag 1F,-4450,-300,-425,0000,0000,0000
81,2,0,009B,0000,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 00,-1425,0,810,0000,E000,0000
81,2,0,009B,0003,Grotto,Generic; Visible; Chest: Blue Rupee; Flag 03,-4030,-700,13860,0000,8000,0000
81,2,0,009B,0022,Grotto,Generic; Visible; Chest: Red Rupee; Flag 02,-270,-500,12350,0000,9555,0000
81,2,0,009B,02E1,Grotto,Tektite; Hit; Chest: None; Flag 01,-4945,-300,2835,0000,1555,000B
81,2,0,009B,02E4,Grotto,Webbed; Hit; Chest: None; Flag 04,-7870,-300,6920,0000,0000,0005
