Scene,Setup,Room
9,0,0,00EF,0100,Red Ice,,411,4,2332,0000,0000,0000
9,0,1,00EF,0103,Red Ice,,-105,-10,854,0000,0000,0000
9,0,1,00EF,0104,Red Ice,,119,-10,856,0000,0000,0000
9,0,3,00EF,030C,Red Ice,,651,0,-232,0000,B333,0000
9,0,3,00EF,030D,Red Ice,,-134,0,-415,0000,3DDE,0000
9,4,3,00EF,03FF,Red Ice,,554,172,-701,0000,DF4A,0000
9,4,3,00EF,03FF,Red Ice,,-55,0,-415,0000,3DDE,0000
9,4,3,00EF,03FF,Red Ice,,-134,0,-415,0000,3DDE,0000
9,0,5,00EF,0010,Red Ice,,-1126,119,-1577,0000,F555,0000
9,4,5,00EF,00FF,Red Ice,,-1120,119,-1577,0000,F555,0000
9,4,5,00EF,01FF,Red Ice,,-1948,121,-684,0000,4000,0000
9,0,6,00EF,0111,Red Ice,,-1459,267,625,0000,0000,0000
9,0,6,00EF,0012,Red Ice,,-1488,271,676,0000,0000,0000
9,0,6,00EF,0013,Red Ice,,-1422,265,586,0000,0000,0000
9,4,7,00EF,02FF,Red Ice,,-1005,280,1068,0000,8000,0000
9,0,9,00EF,0106,Red Ice,,366,213,-2036,0000,8AAB,0000
9,0,9,00EF,0007,Red Ice,,277,262,-2600,0000,0AAB,0000
9,4,9,00EF,01FF,Red Ice,,1186,222,-2212,0000,C000,0000
9,4,9,00EF,01FF,Red Ice,,275,262,-2608,0000,0AAB,0000
9,4,9,00EF,01FF,Red Ice,,379,213,-2029,0000,8AAB,0000
9,0,11,00EF,000E,Red Ice,,1201,-72,643,0000,C000,0000
9,0,11,00EF,000F,Red Ice,,1261,-71,68,0000,0000,0000
9,4,11,00EF,01FF,Red Ice,,1305,-51,644,0000,C000,0000
13,0,2,00EF,0306,Red Ice,,2212,-242,-840,0000,C000,0000
13,0,3,00EF,0327,Red Ice,,2912,-120,-1420,0000,0000,0000
88,2,1,00EF,0304,Red Ice,,483,53,214,0000,2000,0000
Total: 26
