Scene,Setup,Room
6,0,0,011D,00F1,Flying Pot,,-98,-150,464,0000,0000,0000
6,0,0,011D,00F2,Flying Pot,,103,-150,463,0000,0000,0000
6,0,3,011D,FFF3,Flying Pot,,-1786,30,-1409,0000,0000,0000
6,0,3,011D,00F4,Flying Pot,,-1574,30,-1414,0000,0000,0000
6,0,5,011D,00F5,Flying Pot,,-385,333,-1605,0000,0000,0000
6,0,5,011D,00F6,Flying Pot,,508,333,-1608,0000,0000,0000
6,0,15,011D,00F7,Flying Pot,,1204,0,-910,0000,0000,0000
6,0,15,011D,00F8,Flying Pot,,1204,0,-1028,0000,0000,0000
6,0,25,011D,03F9,Flying Pot,,-92,1613,-1177,0000,0000,0000
6,0,25,011D,00FA,Flying Pot,,-39,1733,-728,0000,0000,0000
6,0,25,011D,03FB,Flying Pot,,145,1733,-728,0000,0000,0000
6,0,25,011D,00FC,Flying Pot,,206,1613,-1177,0000,0000,0000
6,0,25,011D,03FD,Flying Pot,,-151,1613,-1173,0000,0000,0000
6,0,25,011D,03FE,Flying Pot,,268,1613,-1173,0000,0000,0000
7,0,0,011D,00F5,Flying Pot,,-1507,-63,61,0000,8000,0000
7,0,20,011D,00F6,Flying Pot,,4230,-1363,-1180,0000,0000,0000
7,0,20,011D,03F7,Flying Pot,,4547,-1363,-1183,0000,0000,0000
8,0,6,011D,00B4,Flying Pot,,-241,0,-1238,0000,0000,0000
8,0,6,011D,00F5,Flying Pot,,-413,0,-1238,0000,0000,0000
8,0,6,011D,03F6,Flying Pot,,-326,0,-1234,0000,0000,0000
9,0,3,011D,00EC,Flying Pot,,62,0,-660,0000,0000,0000
Total: 21
