Scene,Setup,Room
81,2,0,0175,0016,Big Poe,,-5215,-273,1504,0000,0000,0000
81,2,0,0175,0017,Big Poe,,-1933,104,5455,0000,0000,0000
81,2,0,0175,0018,Big Poe,,-118,27,2167,0000,0000,0000
81,2,0,0175,0019,Big Poe,,3709,164,1721,0000,0000,0000
81,2,0,0175,001A,Big Poe,,1361,421,5869,0000,0000,0000
81,2,0,0175,001B,Big Poe,,679,-118,8268,0000,0000,0000
81,2,0,0175,001C,Big Poe,,-446,-417,11256,0000,0000,0000
81,2,0,0175,001D,Big Poe,,-29,-473,12613,0000,0000,0000
81,2,0,0175,001E,Big Poe,,-6267,-473,7135,0000,0000,0000
81,2,0,0175,001F,Big Poe,,-6146,-473,9007,0000,0000,0000
Total: 10
