Scene,Setup,Room
12,0,0,0186,FF01,Patrolling Gerudo,,1344,-160,-3640,0000,471C,0000
12,0,0,0186,0800,Patrolling Gerudo,,1306,216,-3480,0000,40B6,0002
12,0,1,0186,1600,Patrolling Gerudo,,1598,0,-2314,0000,C000,0003
12,0,3,0186,0800,Patrolling Gerudo,,2105,0,-900,0000,0000,0002
12,0,3,0186,0800,Patrolling Gerudo,,1783,0,-583,0000,8000,0002
12,0,3,0186,0A00,Patrolling Gerudo,,1551,0,-660,0000,C000,0002
90,0,0,0186,0500,Patrolling Gerudo,,-581,31,-331,0000,8000,0000
90,0,0,0186,0500,Patrolling Gerudo,,-540,27,98,0000,0000,0000
93,2,0,0186,0500,Patrolling Gerudo,,56,333,-2238,0000,0000,0002
93,2,0,0186,0500,Patrolling Gerudo,,237,572,-949,0000,0000,0002
93,2,0,0186,0A00,Patrolling Gerudo,,-452,333,-1868,0000,4000,0002
93,2,0,0186,0A00,Patrolling Gerudo,,60,333,-1428,0000,C000,0002
93,3,0,0186,0500,Patrolling Gerudo,,56,333,-2238,0000,0000,0002
93,3,0,0186,0500,Patrolling Gerudo,,237,572,-949,0000,0000,0002
93,3,0,0186,0A00,Patrolling Gerudo,,-452,333,-1868,0000,4000,0002
93,3,0,0186,0A00,Patrolling Gerudo,,60,333,-1428,0000,C000,0002
Total: 16
