Scene,Setup,Room
2,0,1,0034,FFFF,Biri thing?,,-4,-212,-1481,0000,0000,0000
2,4,1,0034,FFFF,Biri thing?,,-10,-78,-1481,0000,0000,0000
2,0,2,0034,FFFF,Biri thing?,,38,-318,-3232,0000,0000,0000
2,0,2,0034,FFFF,Biri thing?,,-110,-325,-3038,0000,0000,0000
2,0,2,0034,FFFF,Biri thing?,,-50,-319,-3394,0000,0000,0000
2,4,2,0034,FFFF,Biri thing?,,38,-318,-3232,0000,0000,0000
2,4,2,0034,FFFF,Biri thing?,,-110,-325,-3038,0000,0000,0000
2,4,2,0034,FFFF,Biri thing?,,-50,-319,-3394,0000,0000,0000
2,0,3,0034,FFFF,Biri thing?,,-69,-990,-3530,0000,0000,0000
2,0,3,0034,FFFF,Biri thing?,,69,-1039,-3380,0000,0000,0000
2,0,3,0034,FFFF,Biri thing?,,-98,-1022,-3044,0000,0000,0000
2,0,3,0034,FFFF,Biri thing?,,112,-916,-2936,0000,0000,0000
2,0,5,0034,FFFF,Biri thing?,,1374,-440,-1323,0000,91C7,0000
2,0,5,0034,FFFF,Biri thing?,,1626,-420,-1829,0000,BB06,0000
2,0,5,0034,FFFF,Biri thing?,,1622,-203,-1619,0000,0000,0000
2,0,5,0034,FFFF,Biri thing?,,1352,-197,-1467,0000,0000,0000
2,0,5,0034,FFFF,Biri thing?,,1253,-85,-1438,0000,0000,0000
2,4,5,0034,FFFF,Biri thing?,,1277,-440,-1473,0000,91C7,0000
2,4,5,0034,FFFF,Biri thing?,,1525,-420,-1646,0000,BB06,0000
2,0,6,0034,FFFF,Biri thing?,,-1360,151,-2740,0000,80B6,0000
2,0,6,0034,FFFF,Biri thing?,,-1368,170,-2546,0000,80B6,0000
2,0,8,0034,FFFF,Biri thing?,,-181,-262,-5982,0000,2222,0000
2,0,8,0034,FFFF,Biri thing?,,-184,-271,-5623,0000,5DDE,0000
2,0,8,0034,FFFF,Biri thing?,,184,-253,-5621,0000,A38E,0000
2,0,8,0034,FFFF,Biri thing?,,182,-275,-5978,0000,E000,0000
2,4,8,0034,FFFF,Biri thing?,,-181,-262,-5982,0000,2222,0000
2,4,8,0034,FFFF,Biri thing?,,-184,-271,-5623,0000,5DDE,0000
2,4,8,0034,FFFF,Biri thing?,,184,-253,-5621,0000,A38E,0000
2,4,8,0034,FFFF,Biri thing?,,182,-275,-5978,0000,E000,0000
Total: 29
