Scene,Setup,Room
66,6,0,005D,0003,Warp Portal,,-62,0,269,0000,0000,0000
68,0,0,005D,FFFE,Warp Portal,,0,6,2,0000,0000,0000
83,2,1,005D,0006,Warp Portal,,1140,340,85,0000,0000,0000
83,3,1,005D,0006,Warp Portal,,1140,340,85,0000,0000,0000
85,5,1,005D,0006,Warp Portal,,2857,0,-594,0000,0000,0000
85,12,1,005D,0006,Warp Portal,,3656,-176,-1046,0000,0000,0000
86,2,0,005D,0006,Warp Portal,,10,500,-2610,0000,0000,0000
87,2,0,005D,0006,Warp Portal,,-1045,-1223,7460,0000,0000,0000
92,2,0,005D,0006,Warp Portal,,-850,20,-2070,0000,0000,0000
96,5,0,005D,0006,Warp Portal,,-1656,695,-519,0000,0000,0000
96,6,0,005D,0006,Warp Portal,,-1656,695,-519,0000,0000,0000
97,2,1,005D,0006,Warp Portal,,0,441,0,0000,0000,0000
Total: 12
